Data from http://www.mpch-mainz.mpg.de/~sander/res/henry.html,,
Rough averages from tables listed here,,
,,
substance,kHstd,ddt
oxygen,1.30E-03,1500
ozone,1.20E-02,2200
hydrogen,7.80E-04,495
carbon dioxide,3.40E-02,2400
ammonia,5.70E+01,4100
nitrogen,6.30E-04,1300
methane,1.40E-03,1800
hydrogen sulfide,1.00E-01,2100
